"(-17.833295, 30.933271)",1,Harare,"(-17.8292, 31.0522)",1606000.0,7.838748944484535,True
"(-17.832667, 30.933316)",1,Harare,"(-17.8292, 31.0522)",1606000.0,7.834367136623626,True
"(-17.830493, 30.912954)",1,Harare,"(-17.8292, 31.0522)",1606000.0,9.172443685232288,True
"(-17.82956, 31.053909)",1,Harare,"(-17.8292, 31.0522)",1606000.0,0.11526105070039329,True
"(-17.825166, 31.03351)",9,Harare,"(-17.8292, 31.0522)",1606000.0,1.2619840546976953,True
"(-16.509317000000006, -68.10434000000001)",3,La Paz,"(-16.4942, -68.1475)",2867504.0,3.0460723508411243,True
"(-15.784282, -47.875568)",1,Brasília,"(-15.7744, -48.0773)",3015268.0,13.448609642814647,True
"(-15.418939000000002, 28.276133)",1,Lusaka,"(-15.4167, 28.2833)",1742979.0,0.5021967552528863,True
"(-15.390818, 28.258815)",1,Lusaka,"(-15.4167, 28.2833)",1742979.0,2.4153928164646605,True
"(-13.983147, 33.781319)",1,Lilongwe,"(-13.9833, 33.7833)",781538.0,0.1334079126181291,True
"(-13.973579, 33.77022)",1,Lilongwe,"(-13.9833, 33.7833)",781538.0,1.1035120535040825,True
"(-13.962612, 33.77412)",1,Lilongwe,"(-13.9833, 33.7833)",781538.0,1.5500524778855702,True
"(-13.96226, 33.774405)",1,Lilongwe,"(-13.9833, 33.7833)",781538.0,1.5648848811373874,True
"(-13.95813, 33.754566)",1,Lilongwe,"(-13.9833, 33.7833)",781538.0,2.5914845256384638,True
"(-13.946082, 33.806974)",1,Lilongwe,"(-13.9833, 33.7833)",781538.0,3.0121607504827974,True
"(-13.890893, 33.794738)",1,Lilongwe,"(-13.9833, 33.7833)",781538.0,6.399028018804875,True
"(-11.967368, -76.978463)",5,Lima,"(-12.05, -77.0333)",9848000.0,6.7845694179336125,True
"(-11.967368, -76.978462)",5,Lima,"(-12.05, -77.0333)",9848000.0,6.784606426768259,True
"(-11.716857, 43.245793)",1,Moroni,"(-11.7036, 43.2536)",111329.0,1.053579497042981,True
"(-9.584336, 160.155603)",2,Honiara,"(-9.4333, 159.95)",84520.0,17.450533143791525,True
"(-9.441944, 147.218889)",1,Port Moresby,"(-9.4789, 147.1494)",364125.0,5.379050031102328,True
"(-9.035466, 13.266699)",1,Luanda,"(-8.8383, 13.2344)",8417000.0,13.72869041281083,True
"(-8.838837, 13.235582)",2,Luanda,"(-8.8383, 13.2344)",8417000.0,0.08882478293973273,True
"(-8.814716, 13.247410999999998)",1,Luanda,"(-8.8383, 13.2344)",8417000.0,1.8487732011954896,True
"(-8.558458, 125.578151)",2,Dili,"(-8.5586, 125.5736)",222323.0,0.3114665048148748,True
"(-6.8135460000000005, 39.239418)",7,Dar es Salaam,"(-6.8, 39.2833)",6698000.0,3.1545606207005688,True
"(-6.392711, 106.823432)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,12.329411567574953,True
"(-6.354444, 106.848134)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,9.611775726018356,True
"(-6.3509720000000005, 106.848889)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,9.374550039439676,True
"(-6.319618, 106.756077)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,9.462872043421923,True
"(-6.307706, 106.717567)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,10.855084863848091,True
"(-6.2966120000000005, 107.025364)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,13.616206752752927,True
"(-6.281578, 106.927594)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,7.30477883723354,True
"(-6.2689910000000015, 106.80603899999998)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,4.60255283738962,True
"(-6.264451, 106.837011)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,3.4704178679593003,True
"(-6.245297, 106.671231)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,12.140739206279392,True
"(-6.243975, 106.800056)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,3.697114598665916,True
"(-6.2416550000000015, 106.800505)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,3.5861128440124928,True
"(-6.229956, 106.866515)",2,Jakarta,"(-6.2146, 106.8451)",34540000.0,1.8116464869133537,True
"(-6.226782, 106.900175)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,3.878702715862829,True
"(-6.210724, 106.632078)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,14.651344428793166,True
